5;1559;1137;1382;1975;6125
36;6761;8942;6224;192;1169
58;9045;2474;4880;7751;4615
62;5010;3067;1044;8818;3218
67;7792;7365;6802;6707;8060
77;1481;5437;452;5971;2499
92;6125;4886;9265;1559;1137
95;7198;7570;3090;5807;9613
133;9924;5773;789;6783;5898
174;1467;5239;1313;2115;5987
189;6664;1105;5834;7038;318
192;36;6761;6224;8942;1169
199;214;2629;999;9449;9556
214;199;2629;999;9449;9556
284;735;3226;539;5728;5184
318;3486;9466;7865;1105;6664
347;1339;7398;3524;7391;7474
352;6982;478;9502;7272;9849
372;5807;2535;7570;7198;95
379;3289;6099;7110;5433;2415
444;10001;525;5065;7288;6747
452;5971;1481;5437;77;2499
454;9306;1823;4709;568;4984
474;9273;9180;4449;6244;1720
478;6982;7272;3075;4396;6150
525;10001;5065;7288;6982;478
539;284;735;3226;5374;7139
552;3293;568;454;5355;9306
560;5560;4682;4717;6690;4823
565;5426;2115;1313;174;6262
568;454;6841;1002;2617;4857
629;5129;1610;9834;9128;8949
637;8327;5123;9142;2056;9466
639;6747;3362;5256;3206;6637
695;4315;7048;1682;5898;2824
735;284;3226;539;5728;5184
751;2582;8996;2654;3698;9613
789;5773;133;9924;6783;5738
804;4812;2725;4015;870;1317
818;8559;4456;9668;3083;3772
820;7605;946;9764;8670;2690
837;6872;2617;4857;1002;3103
870;4015;2725;804;4812;7033
887;2210;9738;3723;6436;6794
893;2446;5394;5465;5839;9665
912;2499;5432;9440;4565;77
946;7605;820;9764;8670;2690
990;4552;2673;7299;9917;2915
999;9449;9556;214;199;2029
1002;4857;2617;6872;6841;837
1004;7162;8872;6260;6369;9849
1007;4727;1317;4086;2665;804
1044;3067;5010;62;8818;5255
1091;6910;4080;5028;8175;1282
1105;6664;189;5834;7038;318
1117;3902;7033;4548;2882;8752
1118;8587;4566;6118;6794;3006
1137;9552;1975;6484;4860;5
1152;2945;8204;6469;3006;6244
1169;8942;36;6761;6224;192
1237;6115;8753;7031;6429;8021
1238;9634;6633;8356;6182;5211
1239;2260;1874;6894;6871;2111
1243;6007;7327;7396;7093;1282
1282;8175;5028;4565;2499;1243
1313;174;565;2115;5426;1467
1317;4086;2665;804;4812;1007
1339;7398;347;3524;7391;5026
1351;6171;6784;3083;9668;4456
1382;8023;8123;5;4857;1002
1452;8760;4631;6344;7590;9665
1467;5239;5987;1999;6262;4827
1471;3918;7077;2474;58;9045
1481;5437;5971;452;77;2499
