13,4,2,10,6,7,1,8,16,14,11,12,3,15,5,9
3,5,14,15,10,9,11,12,6,4,1,8,13,2,16,7
9,11,16,7,14,3,13,4,5,2,10,15,12,8,1,6
1,8,6,12,5,2,15,16,7,13,9,3,11,10,14,4
16,3,11,1,15,10,14,2,4,12,7,13,6,9,8,5
5,12,10,13,8,6,4,9,1,15,14,16,2,3,7,11
4,9,7,14,13,1,5,3,8,11,2,6,15,12,10,16
6,2,15,8,7,16,12,11,10,3,5,9,14,4,13,1
14,10,8,16,11,15,9,7,2,6,4,1,5,13,12,3
2,1,12,5,16,13,8,14,3,9,15,11,7,6,4,10
7,13,4,11,3,5,6,1,12,16,8,10,9,14,15,2
15,6,9,3,4,12,2,10,14,7,13,5,16,1,11,8
8,14,5,6,1,11,3,13,15,10,16,2,4,7,9,12
10,15,3,4,9,14,16,6,11,1,12,7,8,5,2,13
12,16,1,9,2,4,7,5,13,8,3,14,10,11,6,15
11,7,13,2,12,8,10,15,9,5,6,4,1,16,3,14
